번호,규정명,기관명,본문,제정일,최근 개정일,소관부서,파일 다운로드 링크,파일 이름
30,생체정보 확인을 통한 본인확인 인증수단 기준,여신금융협회,,,,,https://www.crefia.or.kr/portal/infocenter/regulation/downloadFile.xx?fileName=생체정보_확인을_통한_본인확인_인증수단_기준_F_(1)[20251106160643895].hwpx&category=selfRegulation,생체정보_확인을_통한_본인확인_인증수단_기준_F_(1)[20251106160643895].hwpx
31,가입신청서 및 동의서 개편 가이드라인(법인회원),여신금융협회,,,,,https://www.crefia.or.kr/portal/infocenter/regulation/downloadFile.xx?fileName=가입신청서 및 동의서 개편 가이드라인(법인회원)(21.5.18.개정).hwp&category=selfRegulation,가입신청서 및 동의서 개편 가이드라인(법인회원)(21.5.18.개정).hwp
32,국내전용 IC칩카드 인증기관 운영규약,여신금융협회,,,,,https://www.crefia.or.kr/portal/infocenter/regulation/downloadFile.xx?fileName=43. 국내전용 IC카드 인증기관 운영규약(2018.3.7 개정(1차)).hwp&category=selfRegulation,43. 국내전용 IC카드 인증기관 운영규약(2018.3.7 개정(1차)).hwp
33,모바일카드의 단독 발급에 관한 가이드라인,여신금융협회,,,,,https://www.crefia.or.kr/portal/infocenter/regulation/downloadFile.xx?fileName=모바일카드의_단독_발급에_관한_가이드라인(2022.10.24_개정(2차))[20221028162015314]_(2)[20221028162451202].hwp&category=selfRegulation,모바일카드의_단독_발급에_관한_가이드라인(2022.10.24_개정(2차))[20221028162015314]_(2)[20221028162451202].hwp
34,비대면 카드영업에 대한 가이드라인,여신금융협회,,,,,https://www.crefia.or.kr/portal/infocenter/regulation/downloadFile.xx?fileName=(첨부1)_비대면_카드영업에_대한_가이드라인_개정(안)_전문[20221027145359825].hwp&category=selfRegulation,(첨부1)_비대면_카드영업에_대한_가이드라인_개정(안)_전문[20221027145359825].hwp
35,신용카드 가맹점 관리 및 운영규약,여신금융협회,,,,,https://www.crefia.or.kr/portal/infocenter/regulation/downloadFile.xx?fileName=신용카드가맹점_관리_및_운영규약(210930_시행)[20210930172359024].hwp&category=selfRegulation,신용카드가맹점_관리_및_운영규약(210930_시행)[20210930172359024].hwp
36,신용카드 단말기 시험・인증 및 등록관리 규정,여신금융협회,,,,,https://www.crefia.or.kr/portal/infocenter/regulation/downloadFile.xx?fileName=신용카드_단말기_시험・인증_및_등록관리_규정[20230703112952291].pdf&category=selfRegulation,신용카드_단말기_시험・인증_및_등록관리_규정[20230703112952291].pdf
37,신용카드 단말기 정보보호 기술기준,여신금융협회,,,,,https://www.crefia.or.kr/portal/infocenter/regulation/downloadFile.xx?fileName=5.신용카드_회원의_정보보호를_위한_신용카드_단말기_정보보호_기술기준(2024.09.26_개정)[20241004165208575].pdf&category=selfRegulation,5.신용카드_회원의_정보보호를_위한_신용카드_단말기_정보보호_기술기준(2024.09.26_개정)[20241004165208575].pdf
38,신용카드 발급 및 이용한도 부여에 관한 모범규준,여신금융협회,,,,,https://www.crefia.or.kr/portal/infocenter/regulation/downloadFile.xx?fileName=신용카드 발급 및 이용한도 부여에 관한 모범규준(2020.8.31. 개정).hwp&category=selfRegulation,신용카드 발급 및 이용한도 부여에 관한 모범규준(2020.8.31. 개정).hwp
39,신용카드 회원 및 가맹점 모집을 위한 전자문서 작성 및 관리 기준,여신금융협회,,,,,https://www.crefia.or.kr/portal/infocenter/regulation/downloadFile.xx?fileName=신용카드 회원 및 가맹점 모집을 위한 전자문서 작성 및 관리기준(20.12.16 개정).hwp&category=selfRegulation,신용카드 회원 및 가맹점 모집을 위한 전자문서 작성 및 관리기준(20.12.16 개정).hwp
40,신용카드 회원의 정보보호를 위한 단말기 시험 가이드,여신금융협회,,,,,https://www.crefia.or.kr/portal/infocenter/regulation/downloadFile.xx?fileName=신용카드_회원의_정보보호를_위한_단말기_시험_가이드(2023.8.1.)[20230808094432659].pdf&category=selfRegulation,신용카드_회원의_정보보호를_위한_단말기_시험_가이드(2023.8.1.)[20230808094432659].pdf
41,주민등록번호 과다노출 관행개선을 위한 신용카드사 가이드라인,여신금융협회,,,,,https://www.crefia.or.kr/portal/infocenter/regulation/downloadFile.xx?fileName=주민등록번호 과다노출 관행개선을 위한 신용카드사 가이드라인(20.12.16. 개정).hwp&category=selfRegulation,주민등록번호 과다노출 관행개선을 위한 신용카드사 가이드라인(20.12.16. 개정).hwp
42,카드대출 금리체계의 합리성 제고를 위한 모범규준,여신금융협회,,,,,https://www.crefia.or.kr/portal/infocenter/regulation/downloadFile.xx?fileName=(첨부3)_카드대출_금리체계의_합리성_제고를_위한_모범규준_개정(안)_전문[20221027145437732].hwp&category=selfRegulation,(첨부3)_카드대출_금리체계의_합리성_제고를_위한_모범규준_개정(안)_전문[20221027145437732].hwp
43,카드 분실・도난사고 보상에 관한 모범규준,여신금융협회,,,,,https://www.crefia.or.kr/portal/infocenter/regulation/downloadFile.xx?fileName=카드_분실�도난사고_보상에_관한_모범규준_(개정_22.10.21.)_[20221213093939007].hwp&category=selfRegulation,카드_분실�도난사고_보상에_관한_모범규준_(개정_22.10.21.)_[20221213093939007].hwp
44,카드상품 수익성 분석체계 가이드라인,여신금융협회,,,,,https://www.crefia.or.kr/portal/infocenter/regulation/downloadFile.xx?fileName=카드상품 수익성 분석체계 가이드라인(2020.1.29. 제정).hwp&category=selfRegulation,카드상품 수익성 분석체계 가이드라인(2020.1.29. 제정).hwp
